                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8332,                 16.346,                 4.2998,                      0,                      0,                      0,                      0,                 6.1905,                 14.782,                 4.1745,                 0.0003,                 0.0003,                 0.0003
                      2,                 4.7315,                 10.046,                   3.94,                      0,                      0,                      0,                      0,                 6.2053,                 14.763,                 4.2323,             0.00060772,             0.00060772,             0.00060772
                      3,                 4.0007,                 6.7926,                 3.2049,                      0,                      0,                      0,                      0,                 6.2346,                 13.116,                  4.361,             0.00090278,             0.00090278,             0.00090278
                      4,                 3.6327,                 4.7143,                 2.7103,                      0,                      0,                      0,                      0,                 6.2807,                 11.952,                 4.6671,              0.0011852,              0.0011852,              0.0011852
                      5,                 3.2947,                 3.7162,                 2.3588,                      0,                      0,                      0,                      0,                 6.2394,                  10.47,                  4.495,              0.0014549,              0.0014549,              0.0014549
                      6,                 2.9977,                 3.4508,                 2.2153,                      0,                      0,                      0,                      0,                 5.8838,                 9.2794,                  3.883,              0.0017119,              0.0017119,              0.0017119
                      7,                 2.9185,                 2.9813,                 2.1685,                0.29749,                0.01838,                0.02886,                0.00674,                   3.57,                 5.7762,                 2.8812,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.6571,                 2.5686,                 2.0182,                 0.4969,                0.29412,                0.29128,                0.10992,                 2.5364,                 3.1612,                 2.2452,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.5817,                 2.4219,                 1.9181,                0.63321,                0.53313,                0.58226,                0.16894,                 2.5599,                 2.2275,                 2.0382,              0.0016832,              0.0016832,              0.0016832
                     10,                  2.415,                 2.1541,                 1.8743,                0.67276,                0.66176,                0.64909,                0.20442,                 2.5475,                 1.9441,                 1.9634,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.2958,                 1.9333,                 1.7684,                0.52835,                0.64706,                0.54222,                0.18722,                 2.2572,                 2.0787,                 1.8532,               0.001604,               0.001604,               0.001604
                     12,                 2.1577,                  1.717,                 1.6926,                0.52007,                0.61353,                0.55023,                0.17166,                 2.1997,                 2.0148,                 1.7814,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.1064,                 1.7346,                 1.6738,                0.39575,                0.59191,                0.42819,                0.14684,                 2.2376,                 3.7176,                 1.9006,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.9016,                 1.6414,                 1.5937,                0.84147,                0.77574,                0.85282,                0.42011,                 1.7231,                 1.6766,                  1.566,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.8798,                 1.4749,                 1.5745,                0.82975,                0.78676,                0.85191,                 0.4076,                 1.7405,                 1.4168,                 1.5681,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.8845,                 1.5137,                  1.546,                0.86808,                0.77941,                0.88389,                0.40727,                 1.8598,                 1.3799,                 1.5641,               0.001406,               0.001406,               0.001406
                     17,                 1.8108,                 1.3736,                 1.4272,                0.61485,                  0.625,                0.59729,                0.22436,                 2.1904,                  1.882,                 1.7513,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.7688,                 1.4041,                 1.4758,                 0.8339,                0.88596,                0.89365,                0.42322,                  1.783,                  1.293,                 1.4497,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.7691,                 1.2756,                 1.3539,                0.81026,                0.83088,                0.85047,                 0.4566,                 1.6048,                 1.2817,                 1.3848,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.7311,                 1.3077,                 1.4252,                0.77939,                   0.75,                0.82967,                0.42746,                 1.6731,                 1.3765,                 1.4116,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.6314,                 1.2599,                 1.3515,                0.89509,                0.79779,                0.90463,                0.45998,                  1.611,                 1.2196,                 1.3757,               0.001208,               0.001208,               0.001208
                     22,                 1.5779,                 1.2376,                 1.3115,                0.91799,                0.89338,                0.94141,                 0.5053,                 1.4885,                  1.136,                 1.3409,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.5337,                 1.1644,                 1.3365,                0.88568,                0.91143,                0.94967,                0.54911,                 1.4186,                 1.0836,                 1.2963,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.5376,                 1.1341,                 1.2954,                0.93657,                0.91176,                0.95426,                0.58067,                 1.3879,                 1.0666,                   1.27,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.4899,                 1.1321,                 1.2514,                  0.923,                0.88134,                0.94451,                0.51574,                 1.4697,                 1.1267,                 1.2769,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.4749,                 1.0832,                 1.2508,                0.92535,                 0.9114,                0.94883,                0.55551,                 1.4269,                 1.0188,                 1.2802,                0.00101,                0.00101,                0.00101
                     27,                 1.4729,                 1.0403,                 1.2516,                0.93541,                0.90512,                0.95737,                0.51143,                 1.4292,                 1.0344,                 1.2567,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.5212,                 1.1062,                 1.2651,                0.90075,                0.87868,                0.94864,                0.54541,                 1.3732,                 1.1366,                 1.2276,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.4445,                 1.0322,                 1.2246,                0.87813,                0.91176,                0.93536,                0.55684,                 1.3634,                 1.0239,                  1.224,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.3981,                 1.0204,                 1.2546,                0.92674,                 0.9302,                0.95245,                0.55883,                 1.3068,                 1.0134,                 1.2174,              0.0008516,              0.0008516,              0.0008516
                     31,                  1.355,                 1.0275,                 1.2437,                0.94154,                0.94853,                0.96446,                0.59508,                 1.2358,                0.96294,                  1.209,               0.000812,               0.000812,               0.000812
                     32,                 1.3673,                0.98176,                 1.2043,                0.95302,                0.95221,                0.96889,                0.55211,                 1.3694,                0.98926,                 1.2073,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.3915,                0.99562,                 1.1773,                0.96614,                0.94401,                0.97314,                 0.6215,                 1.2324,                 0.8879,                 1.1771,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.3338,                0.94467,                 1.1276,                0.97301,                0.90809,                 0.9743,                0.61146,                 1.2464,                0.87971,                 1.1578,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2854,                 0.9294,                  1.194,                0.95414,                0.94118,                0.96814,                0.60136,                 1.2864,                0.92234,                  1.181,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3446,                 0.9343,                 1.1915,                0.95289,                0.91912,                0.97011,                0.60158,                 1.2368,                0.93236,                 1.1584,               0.000614,               0.000614,               0.000614
                     37,                 1.3643,                0.95486,                 1.2084,                0.95483,                0.93256,                0.96982,                0.58562,                 1.2971,                0.95789,                 1.1803,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.2516,                 0.8982,                 1.1134,                0.95619,                 0.9375,                0.97149,                0.61053,                 1.2157,                0.86236,                 1.1265,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.2518,                0.84463,                 1.1133,                0.96776,                0.94485,                0.97488,                0.57721,                 1.2879,                 0.8958,                 1.1423,              0.0004952,              0.0004952,              0.0004952
                     40,                  1.237,                0.86224,                 1.1339,                0.96477,                0.94118,                0.97124,                0.65256,                 1.1454,                 0.8911,                 1.1135,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2106,                0.99701,                 1.2032,                0.97257,                 0.9375,                0.96841,                0.58947,                 1.2797,                 0.9471,                 1.1637,               0.000416,               0.000416,               0.000416
                     42,                 1.2636,                0.95312,                 1.1853,                0.96038,                0.94485,                0.97006,                0.63904,                 1.1604,                 0.8305,                 1.1107,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.1757,                0.88244,                 1.1605,                0.95929,                0.95284,                0.97306,                0.60799,                 1.2217,                0.81841,                 1.1065,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.2133,                0.88576,                  1.173,                0.94877,                0.95327,                0.96764,                0.59833,                  1.189,                0.85711,                 1.0955,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1902,                0.88344,                 1.1613,                0.96056,                0.92647,                0.97199,                0.64853,                 1.1146,                0.81194,                 1.0933,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.1339,                0.85725,                 1.1406,                0.96243,                0.94187,                0.97348,                 0.6558,                 1.1014,                0.78656,                 1.0832,               0.000218,               0.000218,               0.000218
                     47,                 1.1528,                0.86754,                 1.1472,                0.97734,                0.94118,                0.97576,                0.67279,                  1.068,                0.79655,                 1.0751,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1586,                0.86995,                 1.1565,                0.98098,                0.94809,                0.97781,                0.64997,                 1.1252,                 0.7822,                 1.0821,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1231,                 0.8461,                 1.1131,                0.97694,                0.95221,                0.97704,                0.66803,                  1.047,                0.75562,                 1.0668,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.1089,                0.82028,                 1.1193,                0.96285,                0.95298,                0.97595,                0.66526,                 1.0387,                0.75981,                  1.064,               5.96e-05,               5.96e-05,               5.96e-05
